,PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
110,10000291,10000291,K00232,1,205.0,205.0,335.0,61.0,81.0,8.0,6.0,3.0,13.0,10.0,61.0
111,10000291,10000291,K00232,1,15.0,15.0,25.0,55.0,70.0,10.0,5.0,5.0,10.0,20.0,50.0
112,10000291,10000291,K00233,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
113,10000291,10000291,K00234,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
114,10000291,10000291,K00235,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
116,10000291,10000291,K00239,2,10.0,10.0,15.0,75.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
117,10000291,10000291,K00249,1,40.0,40.0,70.0,55.0,85.0,5.0,5.0,5.0,5.0,5.0,75.0
119,10000291,10000291,K00277,2,15.0,15.0,25.0,65.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0
123,10000291,10000291,K00298,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
127,10000291,10000291,K00314,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
128,10000291,10000291,K00316,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
130,10000291,10000291,K00323,1,45.0,45.0,75.0,60.0,90.0,30.0,5.0,0.0,15.0,5.0,40.0
131,10000291,10000291,K00324,1,45.0,45.0,75.0,60.0,90.0,30.0,5.0,0.0,15.0,5.0,40.0
132,10000291,10000291,K00325,2,15.0,15.0,25.0,70.0,100.0,5.0,0.0,0.0,25.0,0.0,70.0
133,10000291,10000291,K00329,1,20.0,20.0,25.0,75.0,100.0,15.0,0.0,0.0,20.0,0.0,60.0
134,10000291,10000291,K00330,1,20.0,20.0,25.0,75.0,100.0,15.0,0.0,0.0,20.0,0.0,60.0
137,10000291,10000291,K00367,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
138,10000291,10000291,K00368,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
141,10000291,10000291,K00379,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
143,10000291,10000291,K00382,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
144,10000291,10000291,K00386,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
145,10000291,10000291,K00387,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
146,10000291,10000291,K00388,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
147,10000291,10000291,K00389,1,25.0,25.0,50.0,55.0,100.0,15.0,0.0,0.0,40.0,0.0,45.0
148,10000291,10000291,K00390,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
149,10000291,10000291,K00391,1,75.0,75.0,110.0,68.0,86.0,5.0,8.0,4.0,12.0,3.0,68.0
150,10000291,10000291,K00393,1,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
151,10000291,10000291,K00394,1,65.0,65.0,115.0,60.0,89.0,15.0,3.0,3.0,16.0,5.0,57.0
152,10000291,10000291,K00397,1,170.0,170.0,320.0,54.0,92.0,16.0,1.0,4.0,9.0,4.0,67.0
153,10000291,10000291,K00446,1,40.0,40.0,50.0,75.0,85.0,5.0,5.0,5.0,10.0,5.0,75.0
154,10000291,10000291,K00447,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
155,10000291,10000291,K00448,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
156,10000291,10000291,K00449,1,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
157,10000291,10000291,K00452,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
158,10000291,10000291,K00453,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
159,10000291,10000291,K00454,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
160,10000291,10000291,K00455,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
161,10000291,10000291,K00457,1,10.0,10.0,20.0,55.0,85.0,0.0,10.0,0.0,25.0,10.0,60.0
162,10000291,10000291,K00458,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
163,10000291,10000291,K00459,1,15.0,15.0,25.0,50.0,85.0,25.0,0.0,10.0,10.0,10.0,50.0
