,PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
2257,10001143,10001143,PFDDGPE4,1,90.0,90.0,155.0,60.0,92.0,9.0,1.0,4.0,12.0,3.0,71.0
2258,10001143,10001143,PFDDGPF4,1,45.0,45.0,70.0,60.0,90.0,5.0,0.0,10.0,15.0,0.0,65.0
2260,10001143,10001143,PFDDGPL4,1,20.0,20.0,25.0,70.0,90.0,20.0,0.0,5.0,15.0,10.0,55.0
2262,10001143,10001143,PFDDGPN4,1,20.0,20.0,25.0,70.0,90.0,20.0,0.0,5.0,15.0,10.0,55.0
2264,10001143,10001143,PFDDGPP4,1,15.0,15.0,25.0,70.0,100.0,5.0,0.0,0.0,20.0,0.0,75.0
2265,10001143,10001143,PFDDGPS4,1,55.0,55.0,95.0,58.0,90.0,8.0,4.0,5.0,13.0,2.0,69.0
2267,10001143,10001143,PFDDGPT4,1,45.0,45.0,70.0,60.0,90.0,5.0,5.0,0.0,10.0,0.0,75.0
2268,10001143,10001143,PFDDGPT4,1,20.0,20.0,35.0,55.0,95.0,5.0,0.0,5.0,15.0,0.0,75.0
2270,10001143,10001143,PFDDGRP4,1,15.0,15.0,20.0,80.0,65.0,5.0,5.0,10.0,20.0,20.0,40.0
2272,10001143,10001143,PFDDGSB4,1,15.0,15.0,25.0,65.0,90.0,25.0,10.0,0.0,25.0,0.0,35.0
2273,10001143,10001143,PFDDGSB4,2,10.0,10.0,15.0,80.0,85.0,0.0,10.0,0.0,5.0,5.0,80.0
2274,10001143,10001143,PFDDGSG4,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2276,10001143,10001143,PFDDGSL4,1,90.0,90.0,155.0,60.0,92.0,9.0,1.0,4.0,12.0,3.0,71.0
2277,10001143,10001143,PFDDGSP4,1,50.0,50.0,95.0,55.0,95.0,10.0,0.0,0.0,15.0,0.0,70.0
2278,10001143,10001143,PFDDGSP4,2,10.0,10.0,15.0,80.0,85.0,0.0,10.0,0.0,5.0,5.0,80.0
2280,10001143,10001143,PFDDGSW4,1,25.0,25.0,45.0,55.0,90.0,15.0,5.0,0.0,0.0,5.0,75.0
2281,10001143,10001143,PFDDGTH4,1,15.0,15.0,20.0,80.0,65.0,5.0,5.0,10.0,20.0,20.0,40.0
2283,10001143,10001143,PFDDGTR4,1,50.0,50.0,95.0,55.0,95.0,10.0,0.0,0.0,15.0,0.0,70.0
2284,10001143,10001143,PFDDGWE4,1,30.0,30.0,45.0,65.0,85.0,25.0,0.0,5.0,10.0,5.0,50.0
2285,10001143,10001143,PFDDGWE4,2,10.0,10.0,15.0,80.0,85.0,0.0,10.0,0.0,5.0,5.0,80.0
2286,10001143,10001143,PHSFDSCCRST,1,15.0,15.0,20.0,70.0,100.0,15.0,0.0,0.0,5.0,0.0,80.0
2288,10001143,10001143,PHTDGMIDWFY,1,35.0,35.0,60.0,60.0,90.0,0.0,0.0,0.0,5.0,10.0,85.0
2293,10001143,10001143,PHTDGODPRAC,1,35.0,35.0,60.0,60.0,95.0,0.0,0.0,5.0,10.0,0.0,90.0
2295,10001143,10001143,PHTDGPHYSI,1,80.0,80.0,130.0,62.0,93.0,1.0,2.0,2.0,6.0,2.0,85.0
2300,10001143,10001143,PMDDGAC2BT2,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2301,10001143,10001143,PMDDGAC2BT2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2302,10001143,10001143,PMDDGAC2BT2,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2303,10001143,10001143,PMDDGAC2BT2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2304,10001143,10001143,PMDDGAC2BT2_P,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2305,10001143,10001143,PMDDGAC2BT2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2306,10001143,10001143,PMDDGAC2BT2_P,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2307,10001143,10001143,PMDDGAC2FV2,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2308,10001143,10001143,PMDDGAC2FV2,1,20.0,20.0,35.0,55.0,95.0,5.0,0.0,5.0,15.0,0.0,75.0
2310,10001143,10001143,PMDDGAC2PS2,1,55.0,55.0,95.0,58.0,90.0,8.0,4.0,5.0,13.0,2.0,69.0
2311,10001143,10001143,PMDDGAC2PS2,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2313,10001143,10001143,PMDDGAC2RP2,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2314,10001143,10001143,PMDDGAC2RP2,1,15.0,15.0,20.0,80.0,65.0,5.0,5.0,10.0,20.0,20.0,40.0
2316,10001143,10001143,PMDDGAC2SG2,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2318,10001143,10001143,PMDDGAC2SP2,1,50.0,50.0,95.0,55.0,95.0,10.0,0.0,0.0,15.0,0.0,70.0
2319,10001143,10001143,PMDDGAC2SP2,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2320,10001143,10001143,PMDDGAC2SP2,2,10.0,10.0,15.0,80.0,85.0,0.0,10.0,0.0,5.0,5.0,80.0
2321,10001143,10001143,PMDDGAC2SY2,1,60.0,60.0,105.0,59.0,89.0,7.0,3.0,6.0,11.0,2.0,71.0
2322,10001143,10001143,PMDDGAC2SY2,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2327,10001143,10001143,PMDDGAE4,1,90.0,90.0,155.0,60.0,92.0,9.0,1.0,4.0,12.0,3.0,71.0
2328,10001143,10001143,PMDDGAI4,1,25.0,25.0,40.0,60.0,85.0,10.0,5.0,0.0,10.0,5.0,70.0
2329,10001143,10001143,PMDDGAI4,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2330,10001143,10001143,PMDDGAI4,1,70.0,70.0,130.0,56.0,85.0,5.0,9.0,2.0,14.0,4.0,66.0
2331,10001143,10001143,PMDDGAI4,2,20.0,20.0,30.0,65.0,100.0,0.0,0.0,0.0,15.0,0.0,85.0
2332,10001143,10001143,PMDDGAO2BT2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2333,10001143,10001143,PMDDGAO2BT2,1,15.0,15.0,30.0,55.0,90.0,5.0,5.0,0.0,10.0,5.0,75.0
2334,10001143,10001143,PMDDGAO2BT2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2335,10001143,10001143,PMDDGAO2BT2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2336,10001143,10001143,PMDDGAO2BT2_P,1,15.0,15.0,30.0,55.0,90.0,5.0,5.0,0.0,10.0,5.0,75.0
2338,10001143,10001143,PMDDGAO4,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2341,10001143,10001143,PMDDGAT4,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2343,10001143,10001143,PMDDGAV2BT2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2344,10001143,10001143,PMDDGAV2BT2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2345,10001143,10001143,PMDDGAV2BT2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2346,10001143,10001143,PMDDGAV2BT2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2347,10001143,10001143,PMDDGAV2BT2_P,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2348,10001143,10001143,PMDDGAV2EP2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2349,10001143,10001143,PMDDGAV2EP2,1,25.0,25.0,50.0,55.0,95.0,0.0,0.0,0.0,5.0,5.0,90.0
2350,10001143,10001143,PMDDGAV2EP2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2351,10001143,10001143,PMDDGAV2EP2_P,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2352,10001143,10001143,PMDDGAV2EP2_P,1,25.0,25.0,50.0,55.0,95.0,0.0,0.0,0.0,5.0,5.0,90.0
2353,10001143,10001143,PMDDGAV2HR2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2354,10001143,10001143,PMDDGAV2HR2,1,10.0,10.0,20.0,60.0,90.0,10.0,0.0,0.0,10.0,10.0,75.0
2355,10001143,10001143,PMDDGAV2LT2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2356,10001143,10001143,PMDDGAV2LT2,1,10.0,10.0,20.0,65.0,85.0,5.0,5.0,10.0,10.0,5.0,70.0
2357,10001143,10001143,PMDDGAV2MC2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2358,10001143,10001143,PMDDGAV2MC2,1,45.0,45.0,70.0,60.0,90.0,5.0,5.0,0.0,10.0,0.0,75.0
2359,10001143,10001143,PMDDGAV2MC2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2360,10001143,10001143,PMDDGAV2MC2_P,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2361,10001143,10001143,PMDDGAV2MC2_P,1,45.0,45.0,70.0,60.0,90.0,5.0,5.0,0.0,10.0,0.0,75.0
2362,10001143,10001143,PMDDGAV2MR2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2363,10001143,10001143,PMDDGAV2MR2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2364,10001143,10001143,PMDDGAV2MR2_P,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2365,10001143,10001143,PMDDGAV2PL2,1,20.0,20.0,25.0,70.0,90.0,20.0,0.0,5.0,15.0,10.0,55.0
2366,10001143,10001143,PMDDGAV2PL2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2367,10001143,10001143,PMDDGAV2PM2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2368,10001143,10001143,PMDDGAV2PM2,1,55.0,55.0,90.0,62.0,89.0,4.0,6.0,3.0,10.0,2.0,76.0
2369,10001143,10001143,PMDDGAV2PM2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2370,10001143,10001143,PMDDGAV2PN2,1,20.0,20.0,25.0,70.0,90.0,20.0,0.0,5.0,15.0,10.0,55.0
2371,10001143,10001143,PMDDGAV2PN2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2372,10001143,10001143,PMDDGAV2TM2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2373,10001143,10001143,PMDDGAV2TM2,1,25.0,25.0,50.0,55.0,95.0,0.0,0.0,0.0,5.0,5.0,90.0
2374,10001143,10001143,PMDDGAV2TM2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2375,10001143,10001143,PMDDGAY2FI2,1,25.0,25.0,40.0,60.0,85.0,10.0,5.0,0.0,10.0,5.0,70.0
2376,10001143,10001143,PMDDGAY2FI2,1,70.0,70.0,130.0,56.0,85.0,5.0,9.0,2.0,14.0,4.0,66.0
2377,10001143,10001143,PMDDGAY2FI2,1,10.0,10.0,20.0,55.0,100.0,50.0,0.0,0.0,30.0,0.0,25.0
2378,10001143,10001143,PMDDGAY2FI2,2,20.0,20.0,30.0,65.0,100.0,0.0,0.0,0.0,15.0,0.0,85.0
2379,10001143,10001143,PMDDGAY2HI2,1,25.0,25.0,45.0,55.0,90.0,5.0,5.0,5.0,10.0,5.0,75.0
2380,10001143,10001143,PMDDGAY2HI2,1,10.0,10.0,20.0,55.0,100.0,50.0,0.0,0.0,30.0,0.0,25.0
2382,10001143,10001143,PMDDGAY2RP2,1,10.0,10.0,20.0,55.0,100.0,50.0,0.0,0.0,30.0,0.0,25.0
2383,10001143,10001143,PMDDGAY2RP2,1,15.0,15.0,20.0,80.0,65.0,5.0,5.0,10.0,20.0,20.0,40.0
2385,10001143,10001143,PMDDGAY4,1,10.0,10.0,20.0,55.0,100.0,50.0,0.0,0.0,30.0,0.0,25.0
2387,10001143,10001143,PMDDGBA4,1,20.0,20.0,25.0,75.0,90.0,10.0,0.0,5.0,15.0,5.0,65.0
2389,10001143,10001143,PMDDGBD4,1,20.0,20.0,25.0,75.0,90.0,10.0,0.0,5.0,15.0,5.0,65.0
2391,10001143,10001143,PMDDGBI4,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2392,10001143,10001143,PMDDGBI4,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2393,10001143,10001143,PMDDGBI4_P,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2394,10001143,10001143,PMDDGBK4,1,30.0,30.0,45.0,65.0,85.0,25.0,0.0,5.0,10.0,5.0,50.0
2395,10001143,10001143,PMDDGBK4,2,10.0,10.0,15.0,80.0,85.0,0.0,10.0,0.0,5.0,5.0,80.0
2397,10001143,10001143,PMDDGBO4,1,10.0,10.0,15.0,80.0,100.0,35.0,0.0,0.0,10.0,0.0,55.0
2398,10001143,10001143,PMDDGBO4,2,10.0,10.0,15.0,80.0,85.0,0.0,10.0,0.0,5.0,5.0,80.0
2399,10001143,10001143,PMDDGBP4,1,30.0,30.0,45.0,65.0,85.0,25.0,0.0,5.0,10.0,5.0,50.0
2400,10001143,10001143,PMDDGBP4,2,10.0,10.0,15.0,80.0,85.0,0.0,10.0,0.0,5.0,5.0,80.0
2401,10001143,10001143,PMDDGBS4,1,25.0,25.0,45.0,55.0,90.0,15.0,5.0,0.0,0.0,5.0,75.0
2402,10001143,10001143,PMDDGBS4,1,45.0,45.0,65.0,65.0,85.0,10.0,5.0,0.0,10.0,10.0,60.0
2404,10001143,10001143,PMDDGBS4_I,1,25.0,25.0,45.0,55.0,90.0,15.0,5.0,0.0,0.0,5.0,75.0
2405,10001143,10001143,PMDDGBS4_I,1,45.0,45.0,65.0,65.0,85.0,10.0,5.0,0.0,10.0,10.0,60.0
2406,10001143,10001143,PMDDGBT2DG2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2407,10001143,10001143,PMDDGBT2DG2,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2408,10001143,10001143,PMDDGBT2DG2,1,45.0,45.0,70.0,60.0,90.0,5.0,5.0,0.0,10.0,0.0,75.0
2409,10001143,10001143,PMDDGBT2DG2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2410,10001143,10001143,PMDDGBT2DG2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2411,10001143,10001143,PMDDGBT2DG2_P,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2412,10001143,10001143,PMDDGBT2DG2_P,1,45.0,45.0,70.0,60.0,90.0,5.0,5.0,0.0,10.0,0.0,75.0
2413,10001143,10001143,PMDDGBT2ED2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2414,10001143,10001143,PMDDGBT2ED2,1,90.0,90.0,155.0,60.0,92.0,9.0,1.0,4.0,12.0,3.0,71.0
2415,10001143,10001143,PMDDGBT2ED2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2416,10001143,10001143,PMDDGBT2ED2_P,1,90.0,90.0,155.0,60.0,92.0,9.0,1.0,4.0,12.0,3.0,71.0
2417,10001143,10001143,PMDDGBT2EK2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2418,10001143,10001143,PMDDGBT2EK2,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2419,10001143,10001143,PMDDGBT2EK2,1,15.0,15.0,20.0,75.0,80.0,0.0,0.0,10.0,0.0,10.0,80.0
2420,10001143,10001143,PMDDGBT2EK2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2421,10001143,10001143,PMDDGBT2EK2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2422,10001143,10001143,PMDDGBT2EK2_P,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2423,10001143,10001143,PMDDGBT2EK2_P,1,15.0,15.0,20.0,75.0,80.0,0.0,0.0,10.0,0.0,10.0,80.0
2424,10001143,10001143,PMDDGBT2FN2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2425,10001143,10001143,PMDDGBT2FN2,1,10.0,10.0,15.0,60.0,90.0,5.0,10.0,0.0,15.0,0.0,70.0
2426,10001143,10001143,PMDDGBT2FN2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2427,10001143,10001143,PMDDGBT2FN2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2428,10001143,10001143,PMDDGBT2FN2_P,1,10.0,10.0,15.0,60.0,90.0,5.0,10.0,0.0,15.0,0.0,70.0
2429,10001143,10001143,PMDDGBT2FV2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2430,10001143,10001143,PMDDGBT2FV2,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2431,10001143,10001143,PMDDGBT2FV2,1,20.0,20.0,35.0,55.0,95.0,5.0,0.0,5.0,15.0,0.0,75.0
2432,10001143,10001143,PMDDGBT2FV2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2433,10001143,10001143,PMDDGBT2FV2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2434,10001143,10001143,PMDDGBT2FV2_P,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2435,10001143,10001143,PMDDGBT2FV2_P,1,20.0,20.0,35.0,55.0,95.0,5.0,0.0,5.0,15.0,0.0,75.0
2436,10001143,10001143,PMDDGBT2HI2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2437,10001143,10001143,PMDDGBT2HI2,1,25.0,25.0,45.0,55.0,90.0,5.0,5.0,5.0,10.0,5.0,75.0
2439,10001143,10001143,PMDDGBT2HI2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2440,10001143,10001143,PMDDGBT2HI2_P,1,25.0,25.0,45.0,55.0,90.0,5.0,5.0,5.0,10.0,5.0,75.0
2441,10001143,10001143,PMDDGBT2HR2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2442,10001143,10001143,PMDDGBT2HR2,1,10.0,10.0,20.0,60.0,90.0,10.0,0.0,0.0,10.0,10.0,75.0
2443,10001143,10001143,PMDDGBT2HR2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2444,10001143,10001143,PMDDGBT2HR2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2445,10001143,10001143,PMDDGBT2HR2_P,1,10.0,10.0,20.0,60.0,90.0,10.0,0.0,0.0,10.0,10.0,75.0
2446,10001143,10001143,PMDDGBT2LM2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2447,10001143,10001143,PMDDGBT2LM2,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2448,10001143,10001143,PMDDGBT2LM2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2449,10001143,10001143,PMDDGBT2LT2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2450,10001143,10001143,PMDDGBT2LT2,1,10.0,10.0,20.0,65.0,85.0,5.0,5.0,10.0,10.0,5.0,70.0
2452,10001143,10001143,PMDDGBT2LT2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2453,10001143,10001143,PMDDGBT2LT2_P,1,10.0,10.0,20.0,65.0,85.0,5.0,5.0,10.0,10.0,5.0,70.0
2454,10001143,10001143,PMDDGBT2MC2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2455,10001143,10001143,PMDDGBT2MC2,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2456,10001143,10001143,PMDDGBT2MC2,1,45.0,45.0,70.0,60.0,90.0,5.0,5.0,0.0,10.0,0.0,75.0
2457,10001143,10001143,PMDDGBT2MC2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2458,10001143,10001143,PMDDGBT2MC2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2459,10001143,10001143,PMDDGBT2MC2_P,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2460,10001143,10001143,PMDDGBT2MC2_P,1,45.0,45.0,70.0,60.0,90.0,5.0,5.0,0.0,10.0,0.0,75.0
2461,10001143,10001143,PMDDGBT2MR2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2462,10001143,10001143,PMDDGBT2MR2,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2463,10001143,10001143,PMDDGBT2MR2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2464,10001143,10001143,PMDDGBT2MR2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2465,10001143,10001143,PMDDGBT2MR2_P,1,25.0,25.0,45.0,60.0,100.0,0.0,0.0,0.0,10.0,0.0,90.0
2466,10001143,10001143,PMDDGBT2PL2,1,20.0,20.0,25.0,70.0,90.0,20.0,0.0,5.0,15.0,10.0,55.0
2467,10001143,10001143,PMDDGBT2PL2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2469,10001143,10001143,PMDDGBT2PL2_P,1,20.0,20.0,25.0,70.0,90.0,20.0,0.0,5.0,15.0,10.0,55.0
2470,10001143,10001143,PMDDGBT2PL2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2471,10001143,10001143,PMDDGBT2PM2,1,20.0,20.0,40.0,55.0,85.0,0.0,10.0,0.0,5.0,5.0,75.0
2472,10001143,10001143,PMDDGBT2PM2,1,55.0,55.0,90.0,62.0,89.0,4.0,6.0,3.0,10.0,2.0,76.0
2473,10001143,10001143,PMDDGBT2PM2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2474,10001143,10001143,PMDDGBT2PN2,1,20.0,20.0,25.0,70.0,90.0,20.0,0.0,5.0,15.0,10.0,55.0
2475,10001143,10001143,PMDDGBT2PN2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2477,10001143,10001143,PMDDGBT2PN2_P,1,20.0,20.0,25.0,70.0,90.0,20.0,0.0,5.0,15.0,10.0,55.0
2478,10001143,10001143,PMDDGBT2PN2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2479,10001143,10001143,PMDDGBT2PS2,1,55.0,55.0,95.0,58.0,90.0,8.0,4.0,5.0,13.0,2.0,69.0
2480,10001143,10001143,PMDDGBT2PS2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2482,10001143,10001143,PMDDGBT2PS2_P,1,55.0,55.0,95.0,58.0,90.0,8.0,4.0,5.0,13.0,2.0,69.0
2483,10001143,10001143,PMDDGBT2PS2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2484,10001143,10001143,PMDDGBT2RP2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2485,10001143,10001143,PMDDGBT2RP2,1,15.0,15.0,20.0,80.0,65.0,5.0,5.0,10.0,20.0,20.0,40.0
2487,10001143,10001143,PMDDGBT2RP2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2488,10001143,10001143,PMDDGBT2RP2_P,1,15.0,15.0,20.0,80.0,65.0,5.0,5.0,10.0,20.0,20.0,40.0
2489,10001143,10001143,PMDDGBT2SG2,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2490,10001143,10001143,PMDDGBT2SG2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2492,10001143,10001143,PMDDGBT2SG2_P,1,35.0,35.0,60.0,60.0,85.0,5.0,10.0,0.0,20.0,5.0,60.0
2493,10001143,10001143,PMDDGBT2SG2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2494,10001143,10001143,PMDDGBT2SP2,1,50.0,50.0,95.0,55.0,95.0,10.0,0.0,0.0,15.0,0.0,70.0
2495,10001143,10001143,PMDDGBT2SP2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2496,10001143,10001143,PMDDGBT2SP2,2,10.0,10.0,15.0,80.0,85.0,0.0,10.0,0.0,5.0,5.0,80.0
2497,10001143,10001143,PMDDGBT2SP2_P,1,50.0,50.0,95.0,55.0,95.0,10.0,0.0,0.0,15.0,0.0,70.0
2498,10001143,10001143,PMDDGBT2SP2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2499,10001143,10001143,PMDDGBT2TM2,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
2500,10001143,10001143,PMDDGBT2TM2,1,25.0,25.0,50.0,55.0,95.0,0.0,0.0,0.0,5.0,5.0,90.0
2501,10001143,10001143,PMDDGBT2TM2,2,10.0,10.0,15.0,70.0,85.0,0.0,10.0,0.0,15.0,10.0,65.0
2502,10001143,10001143,PMDDGBT2TM2_P,1,85.0,85.0,165.0,52.0,93.0,2.0,5.0,0.0,9.0,2.0,82.0
